workerId	retainerRateDollars	retainerMillis	postTime	startTime
AXLMOFXKXSU0B	0.50000	600000	2017-02-04 01:28:53	2017-02-04 01:29:41
AXLMOFXKXSU0B	0.50000	600000	2017-02-04 16:34:53	2017-02-04 16:49:46
A2TY9UFU76QU6K	0.50000	600000	2017-02-07 16:09:59	2017-02-07 16:13:24
A3PPRVK6XK6GP5	0.50000	600000	2017-02-07 23:27:29	2017-02-07 23:29:24
A3D2SUT0WZXWH2	0.50000	600000	2017-02-08 21:12:29	2017-02-08 21:13:44
AXLMOFXKXSU0B	0.50000	600000	2017-02-09 15:36:09	2017-02-09 15:37:09
A3PPRVK6XK6GP5	0.50000	600000	2017-02-20 19:25:21	2017-02-20 19:25:37
A2TY9UFU76QU6K	0.50000	600000	2017-03-08 06:48:48	2017-03-08 06:49:15
AAWX7QFQUNM6D	0.50000	600000	2017-03-10 11:08:18	2017-03-10 11:14:07
A3SX229VS1X6B6	0.50000	600000	2017-03-16 00:53:18	2017-03-16 01:00:52
A3SX229VS1X6B6	0.50000	600000	2017-03-16 22:17:28	2017-03-16 22:17:55
A3PPRVK6XK6GP5	0.50000	600000	2017-03-18 23:48:48	2017-03-18 23:57:43
AAWX7QFQUNM6D	0.50000	600000	2017-03-23 09:29:28	2017-03-23 09:37:57
A1YO03P3SSC7CD	0.15000	600000	2016-10-09 14:47:56	2016-10-09 14:52:32
A25ZFH3PBOTIIW	0.15000	600000	2016-10-10 23:12:59	2016-10-10 23:19:29
A3SDFAOJW87FGP	0.15000	600000	2016-12-02 11:35:42	2016-12-02 11:36:06
AXLMOFXKXSU0B	0.15000	600000	2016-12-10 19:37:40	2016-12-10 19:39:39
A3D2SUT0WZXWH2	0.50000	600000	2016-12-12 09:55:58	2016-12-12 09:56:27
A2C39KTRMOM1XZ	0.50000	600000	2016-12-13 21:26:49	2016-12-13 21:38:52
A27GZN1JOOIAUW	0.50000	600000	2016-12-30 07:43:42	2016-12-30 07:44:30
A142ZRU284W9O	0.15000	600000	2016-11-15 06:43:51	2016-11-15 06:48:54
A109CH3492UU42	0.50000	600000	2017-02-16 01:44:51	2017-02-16 01:45:07
A3NHJPE6326P9V	0.50000	600000	2017-03-03 03:37:12	2017-03-03 03:43:24
A3POLV08XTYAMD	0.50000	600000	2017-01-13 07:12:26	2017-01-13 07:12:45
A32QYANWMXW8EL	0.50000	600000	2017-01-18 23:59:41	2017-01-19 00:06:05
A3D2SUT0WZXWH2	0.50000	600000	2017-03-09 19:40:28	2017-03-09 19:40:57
A1XIL0Q9W5JE4Q	0.15000	600000	2016-10-06 10:14:11	2016-10-06 10:20:10
A2VLOL5DA4M2T1	0.15000	600000	2016-12-10 18:41:51	2016-12-10 18:48:23
AXLMOFXKXSU0B	0.15000	600000	2016-12-09 15:37:53	2016-12-09 15:38:10
A2EOOF9D135HQ1	0.50000	600000	2016-12-11 03:13:54	2016-12-11 03:14:11
A3D2SUT0WZXWH2	0.50000	600000	2016-12-13 17:57:20	2016-12-13 17:57:36
A2435PZYVK2552	0.50000	600000	2016-12-15 07:42:01	2016-12-15 07:45:23
